sample_id	dataset_id	axis_score	upstream_score	mmp_score	junction_score	scoring_method	qc_flags
CCFA_Risk_200	GSE57945	-0.3993	-0.794935	-0.37888	-0.0240865	signed_within_dataset_zscore_mean	ok
CCFA_Risk_201	GSE57945	-0.682664	-0.846573	-0.84589	-0.355528	signed_within_dataset_zscore_mean	ok
CCFA_Risk_202	GSE57945	0.287207	-0.10116	0.614658	0.348122	signed_within_dataset_zscore_mean	ok
CCFA_Risk_203	GSE57945	-0.0972314	-0.221947	0.00411949	-0.0738666	signed_within_dataset_zscore_mean	ok
CCFA_Risk_204	GSE57945	0.509618	0.0523226	1.2563	0.220231	signed_within_dataset_zscore_mean	ok
CCFA_Risk_205	GSE57945	-0.322223	-0.270437	-0.395524	-0.300709	signed_within_dataset_zscore_mean	ok
CCFA_Risk_206	GSE57945	0.412678	-0.0825169	1.32182	-0.00126644	signed_within_dataset_zscore_mean	ok
CCFA_Risk_207	GSE57945	-0.688742	-0.603293	-0.816642	-0.646292	signed_within_dataset_zscore_mean	ok
CCFA_Risk_208	GSE57945	0.0905264	-0.403229	0.399091	0.275717	signed_within_dataset_zscore_mean	ok
CCFA_Risk_209	GSE57945	-0.25088	-0.233479	-0.374926	-0.144234	signed_within_dataset_zscore_mean	ok
CCFA_Risk_210	GSE57945	0.432689	-0.0444805	0.906896	0.435651	signed_within_dataset_zscore_mean	ok
CCFA_Risk_211	GSE57945	-0.194118	-0.0564639	-0.134029	-0.391861	signed_within_dataset_zscore_mean	ok
CCFA_Risk_212	GSE57945	-0.588382	-0.393746	-0.72146	-0.649939	signed_within_dataset_zscore_mean	ok
CCFA_Risk_213	GSE57945	0.42409	-0.265587	1.72055	-0.182691	signed_within_dataset_zscore_mean	ok
CCFA_Risk_214	GSE57945	-0.39436	0.0592182	-0.890543	-0.351754	signed_within_dataset_zscore_mean	ok
CCFA_Risk_215	GSE57945	-0.642881	-0.195788	-0.887589	-0.845267	signed_within_dataset_zscore_mean	ok
CCFA_Risk_216	GSE57945	1.03617	-0.309248	2.8727	0.545058	signed_within_dataset_zscore_mean	ok
CCFA_Risk_217	GSE57945	0.901253	0.18588	1.94852	0.569361	signed_within_dataset_zscore_mean	ok
CCFA_Risk_218	GSE57945	0.583004	0.151798	1.01461	0.582601	signed_within_dataset_zscore_mean	ok
CCFA_Risk_219	GSE57945	-0.415019	-0.177985	-0.747187	-0.319886	signed_within_dataset_zscore_mean	ok
CCFA_Risk_220	GSE57945	-0.584956	-0.795477	-0.487301	-0.47209	signed_within_dataset_zscore_mean	ok
CCFA_Risk_221	GSE57945	0.223496	0.0736391	0.0860761	0.510772	signed_within_dataset_zscore_mean	ok
CCFA_Risk_222	GSE57945	0.0452734	-0.402709	0.175058	0.363471	signed_within_dataset_zscore_mean	ok
CCFA_Risk_223	GSE57945	0.0466186	-0.413054	0.432053	0.120857	signed_within_dataset_zscore_mean	ok
CCFA_Risk_224	GSE57945	-0.188992	-0.308777	-0.438506	0.180305	signed_within_dataset_zscore_mean	ok
CCFA_Risk_225	GSE57945	-0.0806393	0.0593416	-0.247553	-0.0537059	signed_within_dataset_zscore_mean	ok
CCFA_Risk_226	GSE57945	-0.606301	-0.750332	-0.687029	-0.381542	signed_within_dataset_zscore_mean	ok
CCFA_Risk_227	GSE57945	0.437591	0.393401	0.307792	0.611578	signed_within_dataset_zscore_mean	ok
CCFA_Risk_228	GSE57945	0.40969	0.0425665	0.751022	0.435482	signed_within_dataset_zscore_mean	ok
CCFA_Risk_229	GSE57945	0.469014	-0.133932	0.824967	0.716006	signed_within_dataset_zscore_mean	ok
CCFA_Risk_230	GSE57945	0.781328	0.111134	1.62247	0.610382	signed_within_dataset_zscore_mean	ok
CCFA_Risk_231	GSE57945	0.466743	-0.645416	1.4507	0.594947	signed_within_dataset_zscore_mean	ok
CCFA_Risk_232	GSE57945	0.429977	0.389918	0.338209	0.561805	signed_within_dataset_zscore_mean	ok
CCFA_Risk_233	GSE57945	-0.313239	-0.428641	-0.426326	-0.0847499	signed_within_dataset_zscore_mean	ok
